camera_scene,cell,executions,lidar_scene,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0184,BB,3,scene-0184,12.362772,12.252697833333334,P50_ms,12.058531,yolov3,True,centerpoint+yolov3,0.3042409999999993,0.1686544661744336
scene-0184,BB,3,scene-0184,138.2628835,137.99315516666667,P50_ms,137.768911,centerpoint,True,centerpoint+yolov3,0.49397249999998394,0.2501076063459056
scene-0245,BA,3,scene-0184,12.74518,12.267439666666666,P50_ms,11.863632,yolov3,True,centerpoint+yolov3,0.8815479999999987,0.4454000993223202
scene-0245,BA,3,scene-0184,138.3238065,138.0506318333333,P50_ms,137.509895,centerpoint,True,centerpoint+yolov3,0.813911499999989,0.46830024261319975
scene-0184,AA,3,scene-0184,34.859269,34.802279,P50_ms,34.7330435,vit-upernet,True,pointpillars+vit-upernet,0.12622549999999677,0.06399752663384627
scene-0184,AA,3,scene-0184,37.755839,37.33989566666667,P50_ms,36.786235000000005,pointpillars,True,pointpillars+vit-upernet,0.9696039999999968,0.49925697504324473
scene-0398,AB,3,scene-0184,34.908903,34.767040333333334,P50_ms,34.637845,vit-upernet,True,pointpillars+vit-upernet,0.2710580000000036,0.1359722612937426
scene-0398,AB,3,scene-0184,36.725579,36.64805533333333,P50_ms,36.580162,pointpillars,True,pointpillars+vit-upernet,0.1454170000000019,0.0731852680690145
scene-0398,BB,3,scene-0398,34.77393,34.69591466666667,P50_ms,34.594411,vit-upernet,True,pointpillars+vit-upernet,0.1795189999999991,0.09203555939055967
scene-0398,BB,3,scene-0398,31.8079635,31.357851666666665,P50_ms,31.003533,pointpillars,True,pointpillars+vit-upernet,0.8044304999999987,0.41068157423675905
scene-0184,BA,3,scene-0398,34.8523705,34.737114,P50_ms,34.6681595,vit-upernet,True,pointpillars+vit-upernet,0.18421099999999768,0.10045560976495914
scene-0184,BA,3,scene-0398,34.20582,33.95420266666667,P50_ms,33.741921,pointpillars,True,pointpillars+vit-upernet,0.46389900000000495,0.2344377135921916
scene-0184,AA,3,scene-0184,39.387087,39.110062166666665,P50_ms,38.8499395,mask-rcnn,True,pointpillars+mask-rcnn,0.5371475000000032,0.26897234359239286
scene-0184,AA,3,scene-0184,45.502675,45.375138,P50_ms,45.283316,pointpillars,True,pointpillars+mask-rcnn,0.2193590000000043,0.11395728866114992
scene-0398,AB,3,scene-0184,52.600169,52.178036666666664,P50_ms,51.892088,mask-rcnn,True,pointpillars+mask-rcnn,0.708081,0.3731677490624465
scene-0398,AB,3,scene-0184,46.396853,45.8076215,P50_ms,45.3393985,pointpillars,True,pointpillars+mask-rcnn,1.0574544999999986,0.5390127991956677
scene-0398,BB,3,scene-0398,49.380246,49.04359133333333,P50_ms,48.729527,mask-rcnn,True,pointpillars+mask-rcnn,0.6507190000000023,0.32594715309438443
scene-0398,BB,3,scene-0398,43.218635,42.58910483333333,P50_ms,41.569538,pointpillars,True,pointpillars+mask-rcnn,1.6490969999999976,0.8910536907844444
scene-0184,BA,3,scene-0398,38.8432125,38.743669499999996,P50_ms,38.6276115,mask-rcnn,True,pointpillars+mask-rcnn,0.2156009999999995,0.10874514572614193
scene-0184,BA,3,scene-0398,43.645915,43.30762933333333,P50_ms,42.865459,pointpillars,True,pointpillars+mask-rcnn,0.7804560000000009,0.400464617613508
scene-0770,AA,3,scene-0770,42.306070749999996,42.139391749999994,P99_ms,42.0305295,yolov3,False,3dssd+yolov3,0.2755412499999963,0.14658726939373637
scene-0770,AA,3,scene-0770,46.38023072,46.166594546666666,P99_ms,45.950414959999996,3dssd,False,3dssd+yolov3,0.4298157600000039,0.2149191675947805
scene-0398,AB,3,scene-0770,43.58940846,43.42892028,P99_ms,43.34675908,yolov3,False,3dssd+yolov3,0.24264938000000313,0.1390000620522767
scene-0398,AB,3,scene-0770,46.29396875,46.242542336666666,P99_ms,46.1427298,3dssd,False,3dssd+yolov3,0.15123894999999976,0.08645355803954484
scene-0398,BB,3,scene-0398,42.98249508,42.91725013333333,P99_ms,42.87563098,yolov3,False,3dssd+yolov3,0.10686410000000279,0.0572155359161704
scene-0398,BB,3,scene-0398,46.76242099999999,46.37188864666666,P99_ms,46.1646935,3dssd,False,3dssd+yolov3,0.5977274999999906,0.33842124575048627
scene-0770,BA,3,scene-0398,43.14018875,42.97672483333333,P99_ms,42.881210749999994,yolov3,False,3dssd+yolov3,0.25897800000000615,0.14223320993537875
scene-0770,BA,3,scene-0398,46.4062232,46.22059688666667,P99_ms,46.0421442,3dssd,False,3dssd+yolov3,0.3640789999999967,0.18214547825821506
