camera_scene,lidar_scene,metric,model_id,off_executions,off_maximum,off_mean,off_minimum,off_range,off_std,on_executions,on_maximum,on_mean,on_minimum,on_minus_off_mean,on_range,on_std,pair
scene-0245,scene-0245,R,dino,3,0.5084037723098507,0.5011964416518212,0.49058064480999847,0.01782312749985221,0.00938771536442938,3,0.33304121583515733,0.30394809359205,0.2710237183054942,-0.1972483480597712,0.062017497529663124,0.03118575596121798,centerpoint+dino
scene-0245,scene-0245,P50_ms,dino,3,96.6021465,96.14337516666667,95.5297455,1.0724009999999993,0.5527176528321976,3,84.382689,83.976364,83.448415,-12.167011166666668,0.934274000000002,0.47886456832908536,centerpoint+dino
scene-0245,scene-0245,P99_ms,dino,3,144.89079474,144.3271710133333,143.99328981999994,0.8975049200000456,0.49088185347686253,3,112.48560233999996,109.51070961999999,106.06491471999998,-34.81646139333331,6.420687619999981,3.236142615175022,centerpoint+dino
scene-0245,scene-0245,throughput_hz,dino,3,8.413461750203943,8.381730742864466,8.36364262480379,0.04981912540015365,0.02756959620332236,3,10.767399285734626,10.61878841594662,10.492354821999877,2.2370576730821536,0.27504446373474956,0.13885689731010317,centerpoint+dino
scene-0245,scene-0245,unique_source_count,dino,3,164.0,162.66666666666666,162.0,2.0,1.1547005383792515,3,209.0,205.66666666666666,203.0,43.0,6.0,3.0550504633038935,centerpoint+dino
scene-0245,scene-0245,R,centerpoint,3,0.1908179825395731,0.1431378808399903,0.10853238348141268,0.08228559905816042,0.04267246081602814,3,0.23552549512938897,0.21794840533801704,0.20110476613478306,0.07481052449802675,0.03442072899460591,0.017222082001139002,centerpoint+dino
scene-0245,scene-0245,P50_ms,centerpoint,3,227.784558,227.15623866666667,226.20317799999998,1.5813800000000242,0.8392159294730714,3,177.73186,176.18197666666666,174.624064,-50.97426200000001,3.1077960000000076,1.553913558422522,centerpoint+dino
scene-0245,scene-0245,P99_ms,centerpoint,3,269.3668120699999,259.6470908900001,252.5065590000001,16.86025306999983,8.721020378450419,3,217.68724440000003,214.57228356666667,212.55502216,-45.0748073233334,5.132222240000033,2.736536918016268,centerpoint+dino
scene-0245,scene-0245,throughput_hz,centerpoint,3,4.183921936501658,4.167951934179096,4.158480679266873,0.025441257234785297,0.013910056824081338,3,5.411330548266111,5.353942950074697,5.291844017972354,1.1859910158956009,0.11948653029375755,0.059882428397865346,centerpoint+dino
scene-0245,scene-0245,unique_source_count,centerpoint,3,82.0,81.33333333333333,81.0,1.0,0.5773502691896257,3,105.0,104.0,103.0,22.66666666666667,2.0,1.0,centerpoint+dino
scene-0184,scene-0245,R,dino,3,0.5031642208853768,0.4717784547725126,0.4192138592943406,0.08395036159103625,0.04580745477299578,3,0.29052108981119884,0.27811395103051983,0.2709638865369375,-0.1936645037419928,0.01955720327426136,0.010786504184523102,centerpoint+dino
scene-0184,scene-0245,P50_ms,dino,3,102.213458,98.344173,95.732634,6.480823999999998,3.418583578052612,3,84.79726,84.19709616666667,83.870079,-14.14707683333333,0.9271809999999903,0.5204545876669556,centerpoint+dino
scene-0184,scene-0245,P99_ms,dino,3,145.93684340000001,144.64144428666665,142.92473325999998,3.0121101400000327,1.54962242824186,3,108.30562677,107.61208128666668,106.59584156999999,-37.029362999999975,1.709785200000013,0.8994109370608708,centerpoint+dino
scene-0184,scene-0245,throughput_hz,dino,3,8.393540284043414,8.369349094609213,8.327516850310998,0.06602343373241659,0.03637552148067492,3,10.856354853042244,10.819830589034465,10.775191896163241,2.4504814944252526,0.08116295687900354,0.04118542653865194,centerpoint+dino
scene-0184,scene-0245,unique_source_count,dino,3,163.0,162.33333333333334,161.0,2.0,1.1547005383792515,3,210.0,209.66666666666666,209.0,47.333333333333314,1.0,0.5773502691896258,centerpoint+dino
scene-0184,scene-0245,R,centerpoint,3,0.2037079823036807,0.12412146833899562,0.06012733139839104,0.14358065090528965,0.07304924704979832,3,0.23128872398905964,0.21165844729660144,0.19021175200933263,0.08753697895760582,0.04107697197972701,0.020598639254559993,centerpoint+dino
scene-0184,scene-0245,P50_ms,centerpoint,3,228.0977175,227.5516291666667,227.132352,0.9653654999999901,0.4950186270647556,3,179.071137,177.9616791666667,177.018492,-49.58994999999999,2.052644999999984,1.0363746064775834,centerpoint+dino
scene-0184,scene-0245,P99_ms,centerpoint,3,274.56304329999995,255.8197614466666,240.7892142,33.77382909999994,17.190293241060665,3,220.48827178000008,215.63664909000002,211.61418465,-40.183112356666584,8.874087130000078,4.4947728697194,centerpoint+dino
scene-0184,scene-0245,throughput_hz,centerpoint,3,4.167589053168688,4.128913201622757,4.107859275365177,0.05972977780351041,0.033538198777890924,3,5.298836919438419,5.276810103825618,5.24398474490104,1.1478969022028602,0.05485217453737956,0.028976657262562558,centerpoint+dino
