A,B,contrast,effect,executions,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,1.0,1.0,analysis_unique_source_count,1.0,centerpoint,False,centerpoint+dino,0.0,0.0
scene-0770,scene-0245,BA-AA,co_runner,3,0.8217813633684858,0.5455094212152296,R,0.06218833811132707,yolov3,False,centerpoint+yolov3,0.7595930252571588,0.4199969060375696
scene-0770,scene-0245,BB-AB,co_runner,3,0.23613922006853205,0.08024420815408229,R,-0.014031648161010768,yolov3,False,centerpoint+yolov3,0.2501708682295428,0.13599285304847503
scene-0770,scene-0245,AB-AA,own_input,3,0.6623264697500567,0.3292032362639015,R,-0.24404775421224512,yolov3,False,centerpoint+yolov3,0.9063742239623018,0.49862266617513445
scene-0770,scene-0245,BB-BA,own_input,3,-0.07009687225504013,-0.13606197679724574,R,-0.1734865417794399,yolov3,False,centerpoint+yolov3,0.10338966952439976,0.05729989301799423
scene-0770,scene-0245,BB-BA-AB+AA,interaction,3,0.17395088195720498,-0.46526521306114726,R,-0.8358130115294966,yolov3,False,centerpoint+yolov3,1.0097638934867015,0.5559161540427351
scene-0770,scene-0245,BA-AA,co_runner,3,-1.0090299999999992,-11.227137833333336,P50_ms,-16.9504435,yolov3,False,centerpoint+yolov3,15.9414135,8.870434092117426
scene-0770,scene-0245,BB-AB,co_runner,3,0.059962999999999766,-1.3432256666666664,P50_ms,-3.764284,yolov3,False,centerpoint+yolov3,3.8242469999999997,2.1055308767606173
scene-0770,scene-0245,AB-AA,own_input,3,3.748783000000003,-7.996243833333334,P50_ms,-14.705426499999998,yolov3,False,centerpoint+yolov3,18.4542095,10.205844253205397
scene-0770,scene-0245,BB-BA,own_input,3,2.364495999999999,1.887668333333334,P50_ms,0.9935290000000023,yolov3,False,centerpoint+yolov3,1.3709669999999967,0.7749189629402103
scene-0770,scene-0245,BB-BA-AB+AA,interaction,3,17.0104065,9.883912166666668,P50_ms,-2.7552540000000008,yolov3,False,centerpoint+yolov3,19.7656605,10.97554084347715
scene-0770,scene-0245,BA-AA,co_runner,3,-0.21728575000000205,-0.374525583333335,P99_ms,-0.5327040000000025,yolov3,False,centerpoint+yolov3,0.31541825000000046,0.15771121967783683
scene-0770,scene-0245,BB-AB,co_runner,3,-0.07039496000000156,-0.1549095733333369,P99_ms,-0.2558768800000024,yolov3,False,centerpoint+yolov3,0.18548192000000085,0.09382912127992105
scene-0770,scene-0245,AB-AA,own_input,3,0.007059499999996888,-0.0893043133333317,P99_ms,-0.18149225999999885,yolov3,False,centerpoint+yolov3,0.18855175999999574,0.09434521687180172
