component,count,covariance_share,execution_id,first_difference_pearson,mean,mps_enabled,pearson,scene_id,std,total_latency_endpoint_gap,units
"kernel:void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",147,5.850615115934916e-06,i2-i20-0770,0.1653624659608687,0.04319674149659864,False,0.059864082299382476,scene-0770,0.0001655762597773087,3.903999999999713e-05,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::batch_norm_calc_invstd(const at::Tensor &, const at::Tensor &, double)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",147,9.43319825987186e-06,i2-i20-0770,0.22523090933645132,0.02130723129251701,False,0.1535574032706903,scene-0770,0.00010407611474413467,0.00010716000000000198,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(at::TensorIteratorBase &, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",147,6.355519962059476e-07,i2-i20-0770,0.012648553684272713,0.5436439727891158,False,0.0005511637324677026,scene-0770,0.001953589547911365,0.001354239999999951,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",147,1.1441415199994955e-05,i2-i20-0770,0.046906528380571334,0.021540108843537412,False,0.13755253343866194,scene-0770,0.0001409204498541572,-0.0003524599999999989,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, int, at::native::binary_internal::MulFunctor<int>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",147,2.03840014001597e-06,i2-i20-0770,0.07545126123261983,0.017598455782312922,False,0.036221415400946456,scene-0770,9.534257825583372e-05,-9.802000000000075e-05,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",147,8.762022563886654e-06,i2-i20-0770,0.21217031803200911,0.005632748299319728,False,0.2343248865738039,scene-0770,6.335032105190778e-05,-5.183999999999918e-05,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<long, long, long, at::native::remainder_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, long) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)",147,5.695776911469831e-09,i2-i20-0770,-0.0729343524207633,0.015647095238095238,False,0.0001494204462540596,scene-0770,6.45811553286465e-05,-3.913999999999654e-05,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool>>, std::array<char *, (unsigned long)3>>(int, T2, T3)",147,2.0143973124980686e-06,i2-i20-0770,-0.056897603043750904,0.015837353741496602,False,0.014354786672302996,scene-0770,0.00023774492713233173,-0.00022463999999999817,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::atan2_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)]>, std::array<char *, (unsigned long)3>>(int, T2, T3)",147,-6.9239832108088275e-06,i2-i20-0770,-0.13451746735805623,0.008146346938775511,False,-0.17658500288260395,scene-0770,6.643012318323016e-05,-4.618000000000157e-05,ms
"kernel:void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)",147,3.6805079328757013e-06,i2-i20-0770,0.12605284516581616,0.01595880272108843,False,0.04114209904856103,scene-0770,0.0001515598550159623,9.599999999998499e-06,ms
