model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
centerpoint+mask-rcnn,mask-rcnn,image,25 mm/h,r25,25.0,95.388,49.431,144.819,154.155,49.431,89.121,387,75.747,58.737,132.609
centerpoint+mask-rcnn,centerpoint,lidar,50 mm/h,r50,50.0,160.449,131.122,291.571,297.167,131.122,262.999,140,269.902,258.027,277.391
centerpoint+mask-rcnn,mask-rcnn,image,50 mm/h,r50,50.0,98.742,47.380,146.121,148.884,47.380,87.244,385,73.307,57.423,127.891
centerpoint+vit-upernet,centerpoint,lidar,Clear,clear,0.0,197.728,138.719,336.447,337.574,138.719,258.844,142,256.139,242.809,282.917
centerpoint+vit-upernet,vit-upernet,image,Clear,clear,0.0,39.838,35.719,75.557,76.869,35.719,57.922,458,59.820,42.718,73.478
centerpoint+vit-upernet,centerpoint,lidar,7.5 mm/h,r7p5,7.5,198.835,129.864,328.699,331.969,129.864,246.932,149,246.610,235.650,260.007
centerpoint+vit-upernet,vit-upernet,image,7.5 mm/h,r7p5,7.5,39.464,36.135,75.599,75.652,36.135,56.518,458,57.949,39.563,71.459
centerpoint+vit-upernet,centerpoint,lidar,15 mm/h,r15,15.0,198.286,131.458,329.744,331.469,131.458,249.533,147,249.090,236.058,267.361
centerpoint+vit-upernet,vit-upernet,image,15 mm/h,r15,15.0,40.288,35.413,75.701,77.865,35.413,56.877,458,59.081,39.752,71.782
centerpoint+vit-upernet,centerpoint,lidar,25 mm/h,r25,25.0,202.047,131.968,334.015,335.124,131.968,252.781,145,251.419,235.970,276.735
centerpoint+vit-upernet,vit-upernet,image,25 mm/h,r25,25.0,40.188,35.866,76.054,76.199,35.866,57.605,457,60.071,40.145,73.624
centerpoint+vit-upernet,centerpoint,lidar,50 mm/h,r50,50.0,196.766,132.083,328.849,332.953,132.083,250.726,146,249.037,236.247,276.831
centerpoint+vit-upernet,vit-upernet,image,50 mm/h,r50,50.0,40.728,35.503,76.231,76.696,35.503,57.898,457,60.636,39.835,73.958
centerpoint+yolov3,centerpoint,lidar,Clear,clear,0.0,35.348,134.835,170.183,174.655,134.835,153.804,230,153.665,149.811,157.782
centerpoint+yolov3,yolov3,image,Clear,clear,0.0,41.721,9.295,51.016,51.326,9.295,31.266,457,31.853,13.033,48.862
centerpoint+yolov3,centerpoint,lidar,7.5 mm/h,r7p5,7.5,33.679,128.133,161.811,162.656,128.133,147.589,241,146.906,143.987,151.952
centerpoint+yolov3,yolov3,image,7.5 mm/h,r7p5,7.5,41.897,9.112,51.009,52.247,9.112,32.493,458,32.874,14.745,49.262
centerpoint+yolov3,centerpoint,lidar,15 mm/h,r15,15.0,31.396,131.165,162.561,163.856,131.165,147.617,243,147.547,143.639,152.507
centerpoint+yolov3,yolov3,image,15 mm/h,r15,15.0,41.316,9.559,50.875,51.533,9.559,31.166,457,31.007,13.399,49.016
centerpoint+yolov3,centerpoint,lidar,25 mm/h,r25,25.0,32.198,132.728,164.926,167.304,132.728,148.693,239,148.851,144.804,152.680
centerpoint+yolov3,yolov3,image,25 mm/h,r25,25.0,41.982,9.303,51.285,51.558,9.303,32.278,457,33.534,14.541,49.744
centerpoint+yolov3,centerpoint,lidar,50 mm/h,r50,50.0,27.466,132.973,160.439,164.966,132.973,148.380,239,148.208,143.597,153.382
centerpoint+yolov3,yolov3,image,50 mm/h,r50,50.0,41.133,9.927,51.060,51.534,9.927,29.559,457,29.416,12.528,48.078
pointpillars+deeplabv3plus,pointpillars,lidar,Clear,clear,0.0,85.595,28.094,113.689,115.527,28.094,62.320,575,70.527,30.418,72.022
pointpillars+deeplabv3plus,deeplabv3plus,image,Clear,clear,0.0,20.490,40.631,61.121,61.778,40.631,50.024,457,47.556,43.648,56.828
pointpillars+deeplabv3plus,pointpillars,lidar,7.5 mm/h,r7p5,7.5,85.191,27.863,113.054,114.719,27.863,61.140,588,69.884,29.879,71.701
pointpillars+deeplabv3plus,deeplabv3plus,image,7.5 mm/h,r7p5,7.5,19.742,40.829,60.571,61.337,40.829,49.750,457,47.718,43.506,56.215
pointpillars+deeplabv3plus,pointpillars,lidar,15 mm/h,r15,15.0,85.491,27.912,113.403,113.694,27.912,61.592,582,70.302,29.810,71.807
pointpillars+deeplabv3plus,deeplabv3plus,image,15 mm/h,r15,15.0,20.224,39.928,60.151,60.767,39.928,49.609,457,47.651,43.463,56.442
pointpillars+deeplabv3plus,pointpillars,lidar,25 mm/h,r25,25.0,87.196,27.775,114.971,122.581,27.775,62.951,569,71.010,30.380,72.467
pointpillars+deeplabv3plus,deeplabv3plus,image,25 mm/h,r25,25.0,20.590,40.635,61.225,62.358,40.635,50.276,455,47.332,44.072,57.266
pointpillars+deeplabv3plus,pointpillars,lidar,50 mm/h,r50,50.0,86.580,27.742,114.322,115.585,27.742,62.297,575,70.691,30.318,72.334
pointpillars+deeplabv3plus,deeplabv3plus,image,50 mm/h,r50,50.0,20.732,40.221,60.953,61.772,40.221,50.135,457,48.315,43.916,56.668
pointpillars+detr,pointpillars,lidar,Clear,clear,0.0,50.307,28.525,78.832,80.383,28.525,44.566,761,53.365,30.053,54.387
pointpillars+detr,detr,image,Clear,clear,0.0,14.879,24.342,39.221,39.824,24.342,31.758,457,31.750,26.670,36.564
pointpillars+detr,pointpillars,lidar,7.5 mm/h,r7p5,7.5,50.653,27.716,78.369,80.072,27.716,44.147,757,53.014,29.752,54.032
pointpillars+detr,detr,image,7.5 mm/h,r7p5,7.5,15.362,23.671,39.033,39.552,23.671,30.622,457,29.862,26.047,35.726
pointpillars+detr,pointpillars,lidar,15 mm/h,r15,15.0,50.596,27.797,78.393,79.551,27.797,44.036,755,52.767,29.686,53.948
pointpillars+detr,detr,image,15 mm/h,r15,15.0,15.186,23.449,38.636,39.447,23.449,30.471,457,29.614,26.128,35.348
pointpillars+detr,pointpillars,lidar,25 mm/h,r25,25.0,51.359,28.029,79.388,84.606,28.029,44.365,746,53.061,29.878,54.294
pointpillars+detr,detr,image,25 mm/h,r25,25.0,15.091,24.142,39.233,40.238,24.142,31.118,457,29.960,26.902,36.152
pointpillars+detr,pointpillars,lidar,50 mm/h,r50,50.0,51.252,27.164,78.416,79.449,27.164,44.229,755,52.552,29.937,54.164
pointpillars+detr,detr,image,50 mm/h,r50,50.0,15.213,23.845,39.057,43.683,23.845,30.678,457,29.605,26.636,35.291
pointpillars+dino,pointpillars,lidar,Clear,clear,0.0,69.918,29.278,99.197,115.682,29.278,93.842,395,95.245,94.480,96.057
pointpillars+dino,dino,image,Clear,clear,0.0,21.516,72.503,94.020,97.600,72.503,90.098,389,91.049,90.029,91.597
pointpillars+dino,pointpillars,lidar,7.5 mm/h,r7p5,7.5,69.660,29.188,98.848,102.355,29.188,94.455,393,95.628,94.791,96.345
