adverse_p0_p99_range_ms,adverse_width_ms,analysis_scope,camera_model,clear_baseline_id,clear_p0_p99_range_ms,clear_width_ms,co_runner,condition_id,lidar_model,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
136.12376953999998,136.12376953999998,single-run exploratory descriptive,dino,clear,140.64156696999999,140.64156696999999,dino,r15,centerpoint,on,observed_damping,centerpoint+dino,-3.2122775132075176,centerpoint,-4.517797430000002,0.9678772248679248
140.62046916,140.62046916,single-run exploratory descriptive,dino,clear,140.64156696999999,140.64156696999999,dino,r25,centerpoint,on,observed_damping,centerpoint+dino,-0.015001119835711396,centerpoint,-0.02109780999998634,0.9998499888016429
135.91434437999996,135.91434437999996,single-run exploratory descriptive,dino,clear,140.64156696999999,140.64156696999999,dino,r50,centerpoint,on,observed_damping,centerpoint+dino,-3.361184528759109,centerpoint,-4.727222590000025,0.9663881547124089
139.06794440000002,139.06794440000002,single-run exploratory descriptive,dino,clear,140.64156696999999,140.64156696999999,dino,r7p5,centerpoint,on,observed_damping,centerpoint+dino,-1.1188886784343377,centerpoint,-1.5736225699999693,0.9888111132156566
61.054322060000004,61.054322060000004,single-run exploratory descriptive,dino,clear,64.51761079999999,64.51761079999999,centerpoint,r15,centerpoint,on,observed_damping,centerpoint+dino,-5.3679742585879815,dino,-3.4632887399999817,0.9463202574141202
60.95570737,60.95570737,single-run exploratory descriptive,dino,clear,64.51761079999999,64.51761079999999,centerpoint,r25,centerpoint,on,observed_damping,centerpoint+dino,-5.52082351753792,dino,-3.5619034299999868,0.9447917648246208
60.549626599999996,60.549626599999996,single-run exploratory descriptive,dino,clear,64.51761079999999,64.51761079999999,centerpoint,r50,centerpoint,on,observed_damping,centerpoint+dino,-6.150234255109755,dino,-3.9679841999999894,0.9384976574489025
64.43443066,64.43443066,single-run exploratory descriptive,dino,clear,64.51761079999999,64.51761079999999,centerpoint,r7p5,centerpoint,on,observed_damping,centerpoint+dino,-0.12892625589908668,dino,-0.08318013999998186,0.9987107374410091
76.16837154000001,76.16837154000001,single-run exploratory descriptive,faster-rcnn,clear,71.27079061999999,71.27079061999999,faster-rcnn,r15,centerpoint,on,observed_amplification,centerpoint+faster-rcnn,6.871792605911775,centerpoint,4.897580920000024,1.0687179260591178
72.70458099999999,72.70458099999999,single-run exploratory descriptive,faster-rcnn,clear,71.27079061999999,71.27079061999999,faster-rcnn,r25,centerpoint,on,observed_amplification,centerpoint+faster-rcnn,2.0117503503569223,centerpoint,1.433790380000005,1.0201175035035692
73.00114517,73.00114517,single-run exploratory descriptive,faster-rcnn,clear,71.27079061999999,71.27079061999999,faster-rcnn,r50,centerpoint,on,observed_amplification,centerpoint+faster-rcnn,2.4278593445467456,centerpoint,1.7303545500000155,1.0242785934454675
71.45155290999998,71.45155290999998,single-run exploratory descriptive,faster-rcnn,clear,71.27079061999999,71.27079061999999,faster-rcnn,r7p5,centerpoint,on,observed_amplification,centerpoint+faster-rcnn,0.25362745162147426,centerpoint,0.1807622899999899,1.0025362745162147
47.449377139999996,47.449377139999996,single-run exploratory descriptive,faster-rcnn,clear,51.433404040000006,51.433404040000006,centerpoint,r15,centerpoint,on,observed_damping,centerpoint+faster-rcnn,-7.745991101233773,faster-rcnn,-3.9840269000000106,0.9225400889876623
46.959282449999996,46.959282449999996,single-run exploratory descriptive,faster-rcnn,clear,51.433404040000006,51.433404040000006,centerpoint,r25,centerpoint,on,observed_damping,centerpoint+faster-rcnn,-8.698863459475604,faster-rcnn,-4.47412159000001,0.913011365405244
48.63101884,48.63101884,single-run exploratory descriptive,faster-rcnn,clear,51.433404040000006,51.433404040000006,centerpoint,r50,centerpoint,on,observed_damping,centerpoint+faster-rcnn,-5.448570345102133,faster-rcnn,-2.8023852000000034,0.9455142965489787
48.02817257,48.02817257,single-run exploratory descriptive,faster-rcnn,clear,51.433404040000006,51.433404040000006,centerpoint,r7p5,centerpoint,on,observed_damping,centerpoint+faster-rcnn,-6.620661287267204,faster-rcnn,-3.405231470000004,0.933793387127328
113.94889863,113.94889863,single-run exploratory descriptive,mask-rcnn,clear,112.21134239999998,112.21134239999998,mask-rcnn,r15,centerpoint,on,observed_amplification,centerpoint+mask-rcnn,1.5484675549162885,centerpoint,1.737556230000024,1.0154846755491629
112.37085717000002,112.37085717000002,single-run exploratory descriptive,mask-rcnn,clear,112.21134239999998,112.21134239999998,mask-rcnn,r25,centerpoint,on,observed_amplification,centerpoint+mask-rcnn,0.14215565609350111,centerpoint,0.15951477000004388,1.001421556560935
109.92771542,109.92771542,single-run exploratory descriptive,mask-rcnn,clear,112.21134239999998,112.21134239999998,mask-rcnn,r50,centerpoint,on,observed_damping,centerpoint+mask-rcnn,-2.03511243262694,centerpoint,-2.2836269799999798,0.9796488756737306
115.32822563999997,115.32822563999997,single-run exploratory descriptive,mask-rcnn,clear,112.21134239999998,112.21134239999998,mask-rcnn,r7p5,centerpoint,on,observed_amplification,centerpoint+mask-rcnn,2.7776900029314655,centerpoint,3.116883239999993,1.0277769000293147
53.636387879999994,53.636387879999994,single-run exploratory descriptive,mask-rcnn,clear,57.09089535999999,57.09089535999999,centerpoint,r15,centerpoint,on,observed_damping,centerpoint+mask-rcnn,-6.050890353386107,mask-rcnn,-3.4545074799999966,0.9394910964661389
54.46546175999998,54.46546175999998,single-run exploratory descriptive,mask-rcnn,clear,57.09089535999999,57.09089535999999,centerpoint,r25,centerpoint,on,observed_damping,centerpoint+mask-rcnn,-4.598690532780614,mask-rcnn,-2.625433600000008,0.9540130946721939
55.53903219999996,55.53903219999996,single-run exploratory descriptive,mask-rcnn,clear,57.09089535999999,57.09089535999999,centerpoint,r50,centerpoint,on,observed_damping,centerpoint+mask-rcnn,-2.718232303442425,mask-rcnn,-1.5518631600000319,0.9728176769655758
54.52071049999999,54.52071049999999,single-run exploratory descriptive,mask-rcnn,clear,57.09089535999999,57.09089535999999,centerpoint,r7p5,centerpoint,on,observed_damping,centerpoint+mask-rcnn,-4.501917238805064,mask-rcnn,-2.5701848599999977,0.9549808276119494
76.76505554999997,76.76505554999997,single-run exploratory descriptive,vit-upernet,clear,70.22529079999998,70.22529079999998,vit-upernet,r15,centerpoint,on,observed_amplification,centerpoint+vit-upernet,9.31254919061153,centerpoint,6.539764749999989,1.0931254919061153
74.95585011,74.95585011,single-run exploratory descriptive,vit-upernet,clear,70.22529079999998,70.22529079999998,vit-upernet,r25,centerpoint,on,observed_amplification,centerpoint+vit-upernet,6.736261617588091,centerpoint,4.730559310000018,1.067362616175881
71.46603333000002,71.46603333000002,single-run exploratory descriptive,vit-upernet,clear,70.22529079999998,70.22529079999998,vit-upernet,r50,centerpoint,on,observed_amplification,centerpoint+vit-upernet,1.76680297919114,centerpoint,1.240742530000034,1.0176680297919114
