condition_id,factor_change_on_minus_off,mps_off_label,mps_off_variation_factor,mps_on_label,mps_on_variation_factor,pair_id,target_model
r7p5,-0.00014909649908834144,observed_damping,0.9963021871343748,observed_damping,0.9961530906352865,pointpillars+dino,pointpillars
r15,-0.02607709056872065,observed_amplification,1.0462051662012513,observed_amplification,1.0201280756325306,pointpillars+faster-rcnn,faster-rcnn
r25,-0.033696920387261464,observed_amplification,1.0451135561012277,observed_amplification,1.0114166357139662,pointpillars+faster-rcnn,faster-rcnn
r50,-0.09744080194623639,observed_amplification,1.0590807748107443,observed_damping,0.9616399728645079,pointpillars+faster-rcnn,faster-rcnn
r7p5,0.0002587095640578241,observed_amplification,1.0325743604843072,observed_amplification,1.032833070048365,pointpillars+faster-rcnn,faster-rcnn
r15,0.029673150294793893,observed_damping,0.9621310353971416,observed_damping,0.9918041856919355,pointpillars+faster-rcnn,pointpillars
r25,0.08006804591662509,observed_damping,0.9556482523426005,observed_amplification,1.0357162982592256,pointpillars+faster-rcnn,pointpillars
r50,0.04569765666214587,observed_damping,0.9600295422267582,observed_amplification,1.005727198888904,pointpillars+faster-rcnn,pointpillars
r7p5,0.03194272947904242,observed_damping,0.956389482623047,observed_damping,0.9883322121020894,pointpillars+faster-rcnn,pointpillars
r15,-0.017650135519345245,observed_damping,0.9863345435432508,observed_damping,0.9686844080239055,pointpillars+mask-rcnn,mask-rcnn
r25,0.027794402530547435,observed_amplification,1.038338333163996,observed_amplification,1.0661327356945434,pointpillars+mask-rcnn,mask-rcnn
r50,-0.007350064966261449,observed_amplification,1.0653618092814752,observed_amplification,1.0580117443152137,pointpillars+mask-rcnn,mask-rcnn
r7p5,-0.08577228341289811,observed_damping,0.9803877057541472,observed_damping,0.8946154223412491,pointpillars+mask-rcnn,mask-rcnn
r15,-0.014517695120089935,observed_amplification,1.0087356931792455,observed_damping,0.9942179980591556,pointpillars+mask-rcnn,pointpillars
r25,0.022760966931145488,observed_damping,0.9858771720269375,observed_amplification,1.008638138958083,pointpillars+mask-rcnn,pointpillars
r50,0.04162084918286868,observed_damping,0.9377541968632086,observed_damping,0.9793750460460773,pointpillars+mask-rcnn,pointpillars
r7p5,-0.002852602879033994,observed_damping,0.9894118543254741,observed_damping,0.9865592514464401,pointpillars+mask-rcnn,pointpillars
r15,-9.741445588140607e-05,observed_amplification,1.0045533634924302,observed_amplification,1.0044559490365488,pointpillars+vit-upernet,pointpillars
r25,0.01609507748146366,observed_amplification,1.0165229394162096,observed_amplification,1.0326180168976733,pointpillars+vit-upernet,pointpillars
r50,-0.0017541214556062723,observed_amplification,1.0151946084270032,observed_amplification,1.0134404869713969,pointpillars+vit-upernet,pointpillars
r7p5,-0.007016019349659008,observed_amplification,1.0047219237149168,observed_damping,0.9977059043652577,pointpillars+vit-upernet,pointpillars
r15,-0.03714934676388515,observed_amplification,1.0229761848318057,observed_damping,0.9858268380679206,pointpillars+vit-upernet,vit-upernet
r25,-0.08678650069357186,observed_amplification,1.0488692232490098,observed_damping,0.9620827225554379,pointpillars+vit-upernet,vit-upernet
r50,-0.0220975949995722,observed_amplification,1.0202765291018971,observed_damping,0.9981789341023249,pointpillars+vit-upernet,vit-upernet
r7p5,0.00426470180487748,observed_damping,0.9827269630822411,observed_damping,0.9869916648871185,pointpillars+vit-upernet,vit-upernet
r15,0.0770028639163749,observed_damping,0.9927310878631963,observed_amplification,1.0697339517795712,pointpillars+yolov3,pointpillars
r25,0.11573659553706062,observed_amplification,1.044054316375598,observed_amplification,1.1597909119126586,pointpillars+yolov3,pointpillars
r50,0.10794438305365639,observed_amplification,1.030909260055654,observed_amplification,1.1388536431093104,pointpillars+yolov3,pointpillars
r7p5,0.19448376877168272,observed_amplification,1.0212581177113234,observed_amplification,1.215741886483006,pointpillars+yolov3,pointpillars
r15,0.07656609308357631,observed_damping,0.8367887271414811,observed_damping,0.9133548202250574,pointpillars+yolov3,yolov3
r25,0.1512389990641917,observed_damping,0.8542040575173729,observed_amplification,1.0054430565815646,pointpillars+yolov3,yolov3
r50,0.026984336645917262,observed_damping,0.9318466659628132,observed_damping,0.9588310026087304,pointpillars+yolov3,yolov3
r7p5,0.12537262008020766,observed_damping,0.8047410000264905,observed_damping,0.9301136201066982,pointpillars+yolov3,yolov3
