model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
pointpillars+dino,pointpillars,lidar,15 mm/h,r15,15.0,47.962,28.872,76.833,80.144,28.872,60.661,595,64.957,48.552,71.494
pointpillars+dino,dino,image,15 mm/h,r15,15.0,18.715,66.998,85.713,90.406,66.998,79.620,421,79.515,77.837,81.485
pointpillars+dino,pointpillars,lidar,25 mm/h,r25,25.0,48.366,28.284,76.650,79.244,28.284,60.237,593,64.119,48.220,71.589
pointpillars+dino,dino,image,25 mm/h,r25,25.0,19.715,66.985,86.700,90.272,66.985,79.454,420,79.450,77.779,80.921
pointpillars+dino,pointpillars,lidar,50 mm/h,r50,50.0,48.570,29.402,77.971,80.036,29.402,60.786,588,64.948,48.539,71.866
pointpillars+dino,dino,image,50 mm/h,r50,50.0,18.811,68.132,86.943,90.667,68.132,80.274,419,80.316,78.695,81.938
pointpillars+faster-rcnn,pointpillars,lidar,Clear,clear,0.0,28.426,28.373,56.799,58.579,28.373,43.899,758,49.998,30.708,53.983
pointpillars+faster-rcnn,faster-rcnn,image,Clear,clear,0.0,13.092,35.768,48.860,49.696,35.768,43.548,457,44.561,40.370,46.226
pointpillars+faster-rcnn,pointpillars,lidar,7.5 mm/h,r7p5,7.5,28.095,28.077,56.172,58.413,28.077,43.037,751,48.732,30.383,52.971
pointpillars+faster-rcnn,faster-rcnn,image,7.5 mm/h,r7p5,7.5,13.522,35.302,48.824,49.527,35.302,42.411,457,41.611,39.083,45.838
pointpillars+faster-rcnn,pointpillars,lidar,15 mm/h,r15,15.0,28.193,27.857,56.051,58.401,27.857,43.353,751,48.983,30.640,53.349
pointpillars+faster-rcnn,faster-rcnn,image,15 mm/h,r15,15.0,13.355,35.576,48.932,49.555,35.576,42.546,457,42.027,39.302,46.023
pointpillars+faster-rcnn,pointpillars,lidar,25 mm/h,r25,25.0,29.442,26.933,56.374,60.017,26.933,42.833,757,48.404,30.173,52.813
pointpillars+faster-rcnn,faster-rcnn,image,25 mm/h,r25,25.0,13.241,35.426,48.667,49.112,35.426,42.388,457,41.536,39.259,45.980
pointpillars+faster-rcnn,pointpillars,lidar,50 mm/h,r50,50.0,28.589,27.746,56.335,58.296,27.746,42.856,753,48.539,30.550,52.560
pointpillars+faster-rcnn,faster-rcnn,image,50 mm/h,r50,50.0,12.589,35.352,47.941,49.072,35.352,42.000,457,40.924,38.953,45.521
pointpillars+mask-rcnn,pointpillars,lidar,Clear,clear,0.0,41.819,28.876,70.695,78.057,28.876,52.956,675,54.428,42.993,63.743
